star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-505 c 3 5957 1.021 0.91 NA 12.412183 13.17 15.4 16.898 16.344 15.806 16.146 14.675 14.268 44
STAR-130 b 2 5685 1.02 1.03 0.12 16.092 12.398 3.816 4.606 11.969 11.466 11.745 10.417 10.127 28.8
STAR-259 b 1 7099 1.62 2.02 0.01 24.85462415 12.48 6.712 7.668 12.255 11.994 12.113 11.179 11.053 32.3
STAR-061 b 1 5443 0.9 0.86 -0.03 9.07097734 13.896 29.699 31.82 15.54 14.896 15.31 13.728 13.32 36.2
STAR-385 c 2 5679 1.089 1.035 NA 16.665863 12.3 12.003 13.206 14.948 14.317 14.708 13.143 12.772 35.9
STAR-157 b 1 5913 1.11 1.16 0.19 7.74809437 12.566 29.699 31.82 16.254 15.609 16.009 14.412 14.112 29.8
STAR-025 b 1 5203 0.85 0.8 -0.02 16.08066115 12.714 14.007 15.061 14.413 13.618 14.199 12.191 11.692 51.3
STAR-599 b 1 6075 1.03 1.24 -0.18 5.16950177 12.511 14.007 15.061 13.869 13.497 13.69 12.51 12.22 36.5
STAR-685 b 1 6060 1.1 1.2 0.01 41.74600392 13.714 15.4 16.898 12.189 11.782 12.033 10.792 10.564 46.9
STAR-052 b 1 5527 0.93 0.9 0.01 4.79859939 13.695 2.505 3.3 15.203 14.6 14.995 13.41 13.045 38.9
STAR-041 b 2 5615 0.923 0.814 NA 12.699149 13.728 22.528 24.3 16.391 15.764 16.179 14.558 14.154 48.9
STAR-414 b 1 5993 1.11 1.14 0.09 22.0459018 13.121 28.04 31.159 16.191 15.63 16 14.468 14.169 58.3
STAR-720 b 1 5573 0.95 1.15 0.11 18.68404933 13.832 10.275 11.331 14.012 13.446 13.837 12.247 11.884 65
STAR-393 b 1 5690 1 1.02 0.04 16.2385 12.845 3.816 4.606 10.736 10.228 10.519 9.259 8.928 26.8
STAR-451 b 1 5770 0.98 0.96 -0.06 15.74957994 13.068 28.04 31.159 15.72 15.24 15.531 14.185 13.855 47.1
STAR-135 b 3 5272 0.777 0.851 NA 1.729366 13.419 12.591 13.805 16.042 15.278 15.839 13.903 13.526 35
STAR-119 b 1 5596 0.92 0.9 -0.08 7.1396941 13.513 2.505 3.3 16.415 15.844 16.174 14.682 14.294 43.7
STAR-044 b 1 5681 0.95 0.93 -0.07 133.4605235 12.967 20.941 22.518 15.593 15.048 15.361 13.968 13.601 50.1
STAR-135 c 3 5272 0.777 0.851 NA 4.180043 13.419 12.591 13.805 16.042 15.278 15.839 13.903 13.526 32.3
STAR-125 b 1 6761 1.46 1.74 0.03 7.71468975 12.523 15.4 16.898 12.265 12.022 12.115 11.25 11.064 34.9
STAR-438 c 2 5927 1.04 1.05 -0.01 3.70921385 13.98 4.956 5.811 13.169 12.74 13 11.698 11.401 36.1
STAR-234 b 2 6335 1.139 1.147 NA 11.38848 13.73 29.699 31.82 15.013 14.568 14.816 13.538 13.242 41.4
STAR-464 c 2 5816 0.953 0.958 NA 19.446355 13.341 28.04 31.159 14.763 14.211 14.545 13.041 12.708 37.8
STAR-321 c 4 NA 0.024945 0.185906 NA 9.6739283 13.044 15.4 16.898 13.692 13.009 13.509 11.701 11.291 39.1
STAR-458 c 4 6182 1.28 1.52 NA 10.423648 13.067 6.712 7.668 12.551 12.186 12.385 11.217 10.957 28.5
STAR-619 b 1 5192 0.87 0.79 0 12.92491623 14.162 10.275 11.331 14.208 13.454 14.01 12.013 11.615 38.3
STAR-423 c 3 5573 0.878 0.933 NA 9.946047 13.613 28.04 31.159 16.222 15.512 15.993 14.227 13.853 39.4
STAR-413 b 2 5190 NA 0.831 NA 6.308205 13.07 12.003 13.206 15.919 15.187 15.704 13.91 13.442 38
STAR-194 b 1 5643 0.98 0.96 0.06 4.16809082 11.906 2.505 3.3 15.392 14.73 15.128 13.618 13.246 35.3
STAR-100 b 2 5088 NA 0.724 NA 18.207973 12.479 15.4 16.898 14.922 14.223 14.742 12.852 12.487 46.9
STAR-433 b 2 4991 1.079 2.935 0.28 30.160546 12.132 15.4 16.898 12.328 11.497 12.074 10.047 9.58 27.9
STAR-592 c 2 3631 0.49 0.46 -0.01 0.89304124 12.99 15.4 16.898 16.712 15.31 16.425 12.596 11.951 35.2
STAR-311 b 1 5698 0.98 0.97 0.03 6.88337562 12.334 28.04 31.159 15.452 14.888 15.25 13.698 13.364 43.6
STAR-707 b 3 6089 1.053 1.025 NA 2.092281 13.689 29.699 31.82 15.369 14.872 15.155 13.779 13.449 37.4
STAR-473 b 1 4996 0.85 0.78 0.16 4.17625551 12.617 4.956 5.811 14.558 13.636 14.369 12.063 11.564 22.3
STAR-007 b NA NA NA NA NA NA 13.673 20.941 22.518 14.742 14.279 14.559 13.236 12.999 25.7
STAR-636 b 1 5967 1.08 1.1 0.04 21.21708973 13.967 2.505 3.3 14.981 14.513 14.765 13.43 13.131 40.6
STAR-148 b 1 6236 1.19 1.19 0.09 6.8834055 12.155 3.816 4.606 11.182 10.802 10.988 9.91 9.664 27.2
STAR-017 b 3 4605 0.709 0.667 NA 5.188549 13.876 14.345 15.644 14.679 13.66 14.55 12.035 11.468 46
STAR-537 b NA NA NA NA NA NA 13.5 10.275 11.331 14.729 14.225 14.54 13.141 12.846 19.3
STAR-045 b 2 6224 1.09 1.113 NA 2.711506 12.193 12.003 13.206 16.007 15.483 15.769 14.387 14.103 31.8
STAR-004 b 1 5963 1.11 1.16 0.15 1.6255222 12.32 2.505 3.3 15.595 14.923 15.352 13.656 13.355 17.2
STAR-554 b 1 5343 0.88 0.84 0 10.35533177 12.535 2.505 3.3 15.627 14.948 15.399 13.656 13.278 39
STAR-570 b 1 5741 1.05 0.98 0.21 17.4211749 12.838 14.345 15.644 14.401 13.881 14.213 12.803 12.519 54
STAR-637 b 4 5100 0.777 0.795 NA 7.49019 12.809 12.003 13.206 16.312 15.541 16.092 14.121 13.688 35.8
STAR-314 b 2 5980 1.09 1.11 0.05 5.4042722 13.723 28.04 29.546 15.122 14.643 14.925 13.579 13.262 40
STAR-689 b NA NA NA NA NA NA 13.823 15.4 16.898 12.896 12.135 12.642 10.683 10.221 23.7
STAR-504 b 1 4870 0.79 0.74 0.02 17.671796 13.422 29.699 31.82 16.379 15.503 16.235 13.962 13.471 53
STAR-514 c 2 5333 0.853 0.749 NA 4.302149 14.255 28.04 29.546 15.325 14.645 15.124 13.364 12.948 40.7
STAR-021 e 4 5858 1 1.04 -0.12 43.8445 13.658 4.956 5.811 13.293 12.85 13.084 11.752 11.493 32.9
STAR-632 d 5 3788 0.478 0.472 -0.28 13.342996 13.461 12.003 13.206 16.049 14.679 15.818 12.473 11.823 55.3
STAR-211 c 3 5479 0.905 1.007 NA 21.2234 13.121 12.003 13.206 14.663 14.064 14.461 12.891 12.512 59
STAR-365 b 1 4655 0.73 0.69 -0.07 10.35584657 12.997 29.699 31.82 15.235 14.295 15.045 12.646 12.07 47
STAR-489 b NA NA NA NA NA NA 13.513 4.956 5.811 11.74 11.609 11.61 10.983 10.875 32.9
STAR-241 b 1 5535 0.93 0.9 0 4.45419434 13.76 28.04 31.159 15.686 14.949 15.452 13.58 13.147 16.6
STAR-037 b 1 5961 1.14 1.25 0.19 3.744439 14.132 15.4 16.898 13.104 12.639 12.897 11.64 11.384 44.2
STAR-525 b 1 5075 0.82 0.78 -0.01 5.39202539 12.771 28.04 31.159 16.345 15.555 16.198 14.186 13.739 44.6
STAR-327 b 1 5668 0.96 0.87 -0.1 10.04556931 13.068 4.956 5.811 13.516 12.946 13.311 11.89 11.574 44.5
STAR-457 b 1 4223 0.65 0.62 -0.06 5.8706191 13.27 29.699 31.82 17.173 15.93 16.996 13.958 13.339 45.6
STAR-167 b 1 5653 0.96 0.91 -0.04 76.13602028 14.091 16.662 18.119 12.907 12.392 12.71 11.297 10.942 58.8
STAR-704 b 1 5839 1.19 1.38 0.34 11.13125132 12.064 16.107 17.482 13.875 13.422 13.709 12.336 12.023 39.1
STAR-166 b 1 5419 0.9 0.86 0 10.52629406 12.819 2.505 3.3 15.956 15.263 15.738 13.967 13.532 26.3
STAR-710 b 1 5496 0.93 0.9 0.06 4.301662 13.764 2.505 3.3 14.927 14.286 14.717 13.07 12.718 34.7
STAR-603 c 2 3767 0.58 0.49 NA 19.271566 14.214 22.528 24.3 16.618 15.383 16.462 13.404 12.775 58.2
STAR-623 b 1 5526 0.93 0.9 0.02 13.14497566 12.236 14.345 15.644 13.956 13.362 13.733 12.21 11.853 44.1
STAR-086 b 2 5644 1.003 0.967 NA 23.637604 12.704 14.007 15.061 14.066 13.55 13.836 12.448 12.101 33.8
