star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-484 c 2 5626 0.916 0.815 NA 8.014927 13.629 29.699 31.82 15.512 14.921 15.289 13.682 13.349 42.1
STAR-063 b 1 6747 1.49 1.81 0.08 3.1739171 13.197 14.345 15.644 14.367 13.919 14.148 12.92 12.724 29
STAR-056 b 1 5322 0.91 0.84 0.11 30.99660733 12.821 14.007 15.061 13.97 13.266 13.761 11.993 11.567 47
STAR-516 b 5 NA NA 0.19137 NA 5.901263 13.807 14.007 15.061 17.251 15.913 17.072 13.615 12.9 48.4
STAR-651 b 1 5247 0.86 0.81 -0.02 12.49341307 12.041 4.956 5.811 14.183 13.504 13.954 12.237 11.784 34.2
STAR-376 b 1 4286 0.65 0.63 -0.09 12.3764661 13.42 29.699 31.632 16.073 14.853 15.915 12.99 12.368 50.6
STAR-027 c 4 5897 1.02 1.289 NA 12.33336 12.094 26.161 28.086 15.425 14.893 15.205 13.762 13.445 35.1
STAR-712 b 1 3931 0.55 0.53 -0.19 27.52197994 12.62 10.275 11.331 16.484 15.193 16.318 12.912 12.236 54.2
STAR-671 b 1 4653 0.76 0.71 0.05 0.63133235 13.764 15.4 16.898 15.235 14.274 15.074 12.554 12.01 34.7
STAR-324 c 2 NA NA NA NA 17.9801235 13.252 22.528 24.3 14.669 14.259 14.488 13.253 12.974 46.4
STAR-359 b 1 3804 0.46 0.44 -0.43 7.09714223 12.799 28.04 31.159 17.065 15.731 16.838 13.441 12.871 60.4
STAR-601 b 1 5958 1.07 1.09 0.04 3.2432598 14.255 6.712 7.669 15.394 14.876 15.168 13.782 13.478 17.7
STAR-082 d 5 5299 0.834 0.826 NA 7.055679 13.051 24.269 26.1 16.626 15.89 16.369 14.537 14.076 37
STAR-165 b 1 5418 0.9 0.86 0.01 20.83424726 13.434 28.04 31.159 16.027 15.337 15.81 14.141 13.726 50.9
STAR-588 b 1 4984 0.78 0.73 -0.14 25.69578251 12.473 2.505 3.3 15.59 14.84 15.446 13.438 12.951 64.1
STAR-574 b 2 5329 0.843 0.775 NA 8.307872 13.521 29.699 31.82 15.434 14.75 15.242 13.531 13.054 48.5
STAR-141 b 1 6163 1.18 1.27 0.07 20.5533844 14.452 28.04 31.159 15.215 14.767 15.032 13.727 13.474 44.8
STAR-579 b 2 NA NA NA NA 7.81254 13.863 13.164 14.391 10.675 10.36 10.52 9.518 9.25 38.9
STAR-017 c 3 4605 0.709 0.667 NA 8.041348 13.876 14.345 15.644 14.679 13.66 14.55 12.035 11.468 46.6
STAR-491 b 1 5217 0.86 0.81 0.03 3.60147201 13.1 29.699 31.82 16.392 15.672 16.196 14.384 14.016 39
STAR-718 e 4 5851 1.183 1.411 0.27 14.749049 14.01 7.32 8.265 12.904 12.427 12.705 11.391 11.114 41.8
STAR-032 b 1 5946 1.02 1.08 -0.1 172.7049784 13.141 12.003 13.206 12.598 12.17 12.405 11.166 10.859 58.1
STAR-019 b 2 4914 0.757 0.763 NA 11.763051 12.685 20.941 22.518 15.964 15.137 15.852 13.702 13.214 58.2
STAR-547 b 2 6089 NA 1.264 NA 17.232366 13.181 10.275 11.331 14.458 14.013 14.262 12.981 12.724 40.8
STAR-267 b 3 6085 1.065 0.958 NA 18.649113 12.447 15.4 16.898 15.867 15.354 15.683 14.252 13.906 43.3
STAR-208 b 1 5579 0.94 0.91 0 19.80792185 13.654 2.505 3.3 16.16 15.599 15.981 14.423 14.086 54.9
STAR-117 c 4 4632 0.717 0.666 NA 9.034199 13.511 13.164 14.391 13.823 13.125 10.672 10.55 13.177 48.1
STAR-169 c 2 5736 1.02 1.425 NA 31.517586 14.041 10.275 11.331 13.328 12.789 13.132 11.679 11.398 58.8
STAR-494 b 1 4848 0.78 0.73 -0.02 1.21956827 13.994 2.505 3.3 15.961 15.059 15.836 13.538 12.996 38.4
STAR-162 b 1 6310 1.23 1.29 0.09 9.94067247 13.043 4.956 5.811 12.937 12.615 12.799 11.734 11.516 33.8
STAR-169 b 2 5736 1.02 1.425 NA 8.129976 14.041 10.275 11.331 13.328 12.789 13.132 11.679 11.398 52.5
STAR-612 c 2 5776 0.96 0.917 NA 21.347262 13.71 29.699 31.82 14.921 14.35 14.704 13.194 12.849 49.8
STAR-049 b 1 3820 0.59 0.55 0.08 2.455239 12.666 14.9 16.047 17.414 16.106 17.356 13.749 13.076 20.1
STAR-600 b 2 5857 0.993 0.884 NA 4.309427 12.669 19.07 20.646 15.113 14.587 14.914 13.46 13.101 38.8
STAR-699 b 2 6090 1.14 1.275 NA 6.00253 12.17 10.275 11.331 13.066 12.673 12.867 11.721 11.507 38.5
STAR-476 b 1 5894 1.15 1.14 0.34 5.45849832 13.921 10.275 11.331 13.508 12.998 13.333 11.91 11.569 49.3
STAR-256 b 1 5837 1.03 1.09 0.04 14.00640607 13.25 4.956 5.811 14.33 13.775 14.106 12.673 12.358 40.5
STAR-330 c 2 5147 0.798 0.743 NA 36.77031 12.569 28.04 31.159 16.302 15.511 16.125 14.054 13.583 57.3
STAR-011 b 3 5309 0.82 0.79 NA 33.601528 12.705 12.003 13.206 15.921 15.203 15.717 13.814 13.435 37.7
STAR-542 b 2 4096 0.654 0.534 NA 6.312501 12.106 10.275 11.331 15.714 14.665 15.574 13.019 12.417 48
STAR-183 b 1 5539 0.99 1.11 0.18 1.54168 11.759 10.275 11.331 13.424 12.843 13.176 11.672 11.316 24.6
STAR-655 d 3 5208 0.808 0.786 NA 18.119869 13.203 12.003 13.206 16.239 15.471 16.053 14.054 13.631 49.4
STAR-350 d NA NA NA NA NA NA 11.898 12.003 13.206 16.048 15.349 15.832 13.996 13.618 48.8
STAR-088 b 3 6018 1.04 0.88 NA 45.154 14.248 20.941 22.518 15.14 14.628 14.93 13.561 13.218 36.4
STAR-591 b 1 5860 1.04 1.04 0.06 41.805985 12.557 2.505 3.3 15.008 14.472 14.881 13.326 13.009 51.5
STAR-232 b 3 5788 0.97 0.873 NA 10.687576 12.928 12.003 13.206 14.831 14.279 14.625 13.099 12.752 38.3
STAR-074 c 3 6106 1.269 1.359 NA 29.393195 13.066 7.872 8.844 11.779 11.422 11.625 10.535 10.3 48.7
STAR-170 d 4 4486 0.634 0.571 NA 3.543919 13.145 10.275 11.331 16.84 15.434 16.576 13.407 12.746 49.4
STAR-173 b 2 5789 1.04 0.96 0.1 7.75192492 12.401 14.007 15.061 13.746 13.249 13.515 12.202 11.938 32.6
STAR-138 d 3 5100 0.773 0.768 NA 20.477912 12.742 21.998 23.641 15.794 14.99 15.651 13.596 13.178 54.9
STAR-490 c 2 5952 1.04 1.32 -0.08 21.2227 12.399 20.269 21.967 12.735 12.3 12.526 11.314 11.045 40.9
STAR-481 b 1 5611 0.94 0.91 -0.04 4.34728553 12.869 28.04 31.159 15.542 14.977 15.33 13.805 13.397 46.1
STAR-672 b 2 6067 1.17 1.461 NA 11.476094 12.661 16.107 17.482 14.232 13.841 14.048 12.938 12.614 37.8
STAR-413 c 2 5190 NA 0.831 NA 16.239494 13.07 12.003 13.206 15.919 15.187 15.704 13.91 13.442 40.4
STAR-219 b 1 5857 1.01 1.02 -0.01 21.3587621 14.277 2.505 3.3 15.701 15.199 15.511 14.071 13.707 45.7
STAR-488 b 2 5020 0.72 0.85 NA 8.20395 12.434 28.04 31.159 16.162 15.297 15.984 13.82 13.316 39
STAR-023 b 1 6457 1.36 1.54 0.11 3.00387658 12.482 6.712 7.668 15.446 14.95 15.243 13.955 13.695 19.8
STAR-510 b 1 5468 0.92 0.84 -0.04 0.97486893 12.682 15.4 16.898 14.044 13.446 13.863 12.212 11.823 42.5
STAR-399 b 5 5751 0.97 1.43 NA 2.090876 12.315 19.07 20.646 15.6 15.003 15.361 13.894 13.544 38.9
STAR-207 b 1 6125 1.15 1.22 0.05 4.28686431 13.004 10.275 11.331 15.4 14.935 15.187 13.913 13.628 31.9
STAR-036 b 1 5803 1.03 1.04 0.1 4.59725385 13.968 29.699 31.82 16.314 15.748 16.09 14.534 14.237 39.3
STAR-276 b 1 5906 1.03 1.05 0.01 8.73485836 11.88 28.04 31.159 15.273 14.725 15.038 13.585 13.243 40.9
STAR-287 b 1 3556 0.34 0.33 -0.39 18.47764449 13.717 24.269 26.1 16.364 14.915 16.023 12.275 11.67 53.7
STAR-113 c 3 NA NA 0.1257 NA 5.8599408 12.441 4.956 5.811 11.336 10.955 11.121 10.066 9.852 29.1
STAR-441 b 1 5327 0.91 0.87 0.15 41.43962808 14.056 2.505 3.3 16.068 15.32 15.815 13.948 13.596 39.1
STAR-378 b 2 3682 NA 0.48 NA 6.738975 13.635 29.699 31.82 17.153 15.934 16.993 14.032 13.34 46.4
STAR-112 g 6 5663 0.961 1.053 NA 118.3807 13.056 23.73 25.461 14.178 13.653 13.957 12.548 12.237 59.1
STAR-577 b 1 6166 1.41 2.06 0.07 5.08005848 12.343 12.003 13.206 13.688 13.183 13.47 12.079 11.814 35.3
STAR-051 b 1 4897 0.79 0.74 -0.03 21.67697486 13.625 29.699 31.82 16.172 15.343 15.95 13.81 13.298 53.7
STAR-455 b 1 5808 1.01 1.01 0.03 24.54350418 13.561 29.699 31.632 15.819 15.285 15.623 14.134 13.811 49.9
STAR-108 b 1 6096 1.64 2.56 0.38 23.20584623 12.694 14.345 15.644 13.685 13.342 13.531 12.458 12.227 38.8
STAR-502 b 1 4128 0.59 0.57 -0.24 2.61302086 13.643 2.505 3.3 17.131 15.805 16.883 13.804 13.194 44.7
STAR-732 b 1 5346 0.86 0.83 -0.07 3.41303622 11.958 29.699 31.632 15.223 14.571 15.015 13.314 12.858 29.5
STAR-529 b 1 5723 0.98 0.96 -0.01 15.77979614 12.998 29.699 31.82 15.062 14.553 14.854 13.483 13.14 47.3
STAR-099 d 3 5554 0.91 0.803 NA 20.050401 12.549 21.459 23.08 16.18 15.548 15.969 14.305 13.852 54.2
STAR-333 b 3 5433 0.857 0.869 NA 3.936981 13.342 12.003 13.206 15.689 14.988 15.485 13.717 13.34 35.3
STAR-548 b 1 5769 1.01 1.02 0.05 0.67737516 12.62 16.662 18.119 13.765 13.294 13.571 12.214 11.891 36
STAR-696 b 1 6159 1.16 1.23 0.05 8.39846269 12.1 2.505 3.3 15.712 15.254 15.498 14.192 13.9 41.2
STAR-544 b 2 NA 1.26 1.45 NA 49.18351 13.541 11.413 12.586 13.127 12.528 12.903 11.429 11.064 46.8
STAR-098 d 3 5413 0.879 0.742 NA 1.55400393 13.911 12.003 13.206 15.296 14.654 15.103 13.346 12.941 36.5
STAR-223 b 1 5887 1.06 1.07 0.09 53.44945593 12.45 2.505 3.3 15.794 15.222 15.593 14.179 13.839 59.8
STAR-509 c 3 5777 1.07 1.02 0.12 39.03106 11.825 12.003 13.206 14.247 13.731 14.043 12.71 12.391 41.4
STAR-087 c 2 6282 1.12 1.107 NA 13.193242 12.588 2.505 3.3 15.031 14.561 14.822 13.49 13.256 39.6
STAR-251 b 2 5311 0.859 0.701 NA 3.177422 12.065 10.275 11.331 15.317 14.646 15.111 13.32 12.885 35
STAR-098 c 3 5413 0.879 0.742 NA 34.260281 13.911 12.003 13.206 15.296 14.654 15.103 13.346 12.941 51.9
STAR-304 b 1 5734 0.99 0.98 0.04 55.63934 13.574 29.699 31.82 15.223 14.676 15.01 13.557 13.237 57.6
STAR-200 b 2 6150 1.04 1.04 -0.12 38.871826 13.45 24.269 26.1 14.628 14.158 14.423 13.121 12.785 44.1
STAR-384 b NA NA NA NA NA NA 12.966 12.003 13.206 14.013 13.61 13.83 12.592 12.345 22.9
STAR-303 b NA NA NA NA NA NA 13.893 29.699 31.82 14.968 14.541 14.772 13.535 13.294 26.4
STAR-066 b 1 5678 0.96 0.95 -0.03 15.59461874 13.293 28.04 31.159 15.982 15.387 15.741 14.205 13.829 41.8
STAR-442 b 1 5520 0.95 0.99 0.2 3.5787087 13.003 4.956 5.811 14.449 13.871 14.234 12.757 12.444 19.6
STAR-713 e 5 4903 0.8 0.74 0.08 16.1457 13.112 3.816 4.606 12.289 11.428 12.108 9.983 9.445 27.2
STAR-616 b 1 4554 0.7 0.66 -0.13 13.32388301 13.011 28.04 31.159 16.95 15.864 16.837 14.166 13.601 52.5
STAR-349 b 2 5976 1.03 1.08 -0.08 3.77360059 12.527 2.505 3.3 14.612 14.178 14.428 13.069 12.726 37.4
STAR-150 b 1 5850 1.04 1.01 0.05 3.74910006 12.078 15.4 16.898 13.752 13.263 13.538 12.215 11.907 40.3
STAR-587 b 5 3740 0.498 0.48 -0.08 10.864384 13.697 15.4 16.898 17.617 16.09 17.287 13.391 12.807 42.6
STAR-174 b 1 5965 1.04 1.06 -0.04 117.93108781 13.588 29.699 31.82 15.502 15.083 15.29 14.079 13.765 37.6
STAR-377 b 3 5920 1.04 1.588 NA 1.611865 12.677 14.345 15.644 13.594 13.129 13.388 12.099 11.84 38.3
STAR-677 b 2 5228 0.789 0.842 NA 5.715442 12.396 28.04 31.159 15.785 14.997 15.6 13.621 13.191 41.4
STAR-028 c 3 5786 1.171 1.491 NA 22.714613 13.352 14.9 16.047 14.174 13.692 13.973 12.678 12.4 50.9
STAR-560 b 1 5693 0.98 0.96 0.04 3.72215641 13.319 28.04 31.159 15.456 14.864 15.246 13.663 13.314 38.2
STAR-387 b 1 6000 1.18 1.12 0.42 7.340711 12.725 6.712 7.668 14.876 14.35 14.665 13.305 13.007 26.5
STAR-277 b 1 6007 1.1 1.26 0.02 8.02511821 13.026 2.505 3.3 14.685 14.109 14.492 12.898 12.539 36
STAR-618 e 5 NA NA NA NA 6.098493 12.579 4.956 5.811 12.997 12.423 12.814 11.252 10.91 46.6
STAR-503 b NA NA NA NA NA NA 12.947 6.712 7.668 14.953 14.413 14.745 13.201 12.948 21.3
STAR-731 b 3 6165 1.198 1.383 NA 10.300682 12.247 20.941 22.518 15.679 15.231 15.493 14.276 14.026 45.8
STAR-128 c 2 5513 0.931 0.935 NA 41.749882 12.815 12.003 13.206 14.536 13.944 14.291 12.797 12.432 37.6
STAR-344 b NA NA NA NA NA NA 13.175 4.956 5.811 14.352 13.885 14.146 12.858 12.605 19.8
STAR-520 b 1 5664 0.97 0.95 0.02 40.4287755 14.08 28.04 31.159 15.479 14.934 15.289 13.74 13.398 55.5
STAR-215 b 1 5761 1.01 1.01 0.06 2.4370333 13.011 28.04 31.159 15.047 14.518 14.836 13.438 13.148 37.2
STAR-709 b 1 5672 0.99 0.97 0.09 29.91136794 12.44 2.505 3.3 15.062 14.359 14.823 13.079 12.718 39.9
STAR-115 c NA NA NA NA NA NA 14.068 10.275 11.331 13.879 13.276 13.656 12.086 11.75 32.7
STAR-700 d 3 4648 0.664 0.594 NA 5.169796 12.534 12.003 13.206 17.074 15.764 16.922 13.737 13.079 43.9
STAR-354 b 1 5455 0.89 0.85 -0.07 8.50699658 14.03 29.699 31.82 15.676 15.088 15.429 13.875 13.477 38.8
STAR-099 c 3 5554 0.91 0.803 NA 9.767292 12.549 21.459 23.08 16.18 15.548 15.969 14.305 13.852 47.3
STAR-302 b 1 6106 1.28 1.44 0.36 5.65179605 13.821 29.699 31.82 12.51 12.127 12.32 11.201 10.906 36.3
STAR-608 c 2 5952 1.171 1.157 NA 224.784608 13.166 4.956 5.811 13.876 13.426 13.677 12.412 12.111 57.8
STAR-479 b 1 6570 1.4 1.66 0.06 4.41745855 12.966 14.345 15.644 13.651 13.298 13.473 12.362 12.151 35.3
STAR-681 b 1 5726 1 1.01 0.07 6.49168426 13.007 28.04 31.159 16.129 15.582 15.89 14.471 14.182 21.2
STAR-203 b 1 5899 1.02 1.15 -0.05 8.50340718 12.737 12.003 13.206 14.131 13.69 13.916 12.436 12.101 33.3
STAR-397 b 3 5884 0.965 1.127 NA 8.457458 12.282 10.275 11.331 12.13 11.581 10.49 11.529 0 47.8
STAR-639 b 2 5696 0.976 1.195 NA 2.46236 13.115 14.345 15.644 14.093 13.577 13.899 12.477 12.169 44.9
STAR-351 b 3 NA 1.346 1.57 NA 28.454851 14.365 28.355 30.499 11.967 11.628 11.812 10.708 10.471 32.8
STAR-450 b 1 5715 0.98 0.96 0.02 3.89593684 12.506 2.505 3.3 16.318 15.676 16.141 14.364 13.968 25.6
STAR-191 b 3 6239 1.11 1.358 NA 10.495711 12.968 20.941 22.518 10.904 10.514 9.344 10.5 0 46.2
STAR-331 c 3 5571 0.912 0.802 NA 5.349555 13.712 20.941 22.518 15.988 15.363 15.78 14.114 13.724 41.2
STAR-730 d 3 3568 0.506 0.482 NA 15.368459 13.313 15.4 16.898 16.847 15.445 16.567 12.836 12.15 64.5
STAR-622 e 5 4997 0.918 0.763 NA 13.767102 12.259 26.161 28.086 14.929 14.123 14.723 12.728 12.282 38.1
STAR-017 d 3 4605 0.709 0.667 NA 11.776134 13.876 14.345 15.644 14.679 13.66 14.55 12.035 11.468 45.8
STAR-235 d 5 NA NA NA NA 18.16406 12.864 12.003 13.206 14.417 13.654 14.26 12.256 11.739 53.7
STAR-666 c 4 5526 0.96 0.89 NA 16.514043 13.356 12.003 13.206 15.783 15.187 15.536 13.96 13.596 36.3
STAR-070 b 3 5687 1.028 1.066 0.27 10.57375339 11.904 6.712 7.668 11.912 11.39 11.723 10.356 10.021 55.6
STAR-564 c 2 5979 1.04 1.205 NA 8.990889 13.6 4.956 5.811 13.87 13.384 13.649 12.314 12.028 33.3
STAR-059 b 4 5580 1.03 0.863 NA 1.796302 13.695 15.4 16.898 16.082 15.533 15.878 14.387 14.057 33.1
STAR-284 b 2 5588 0.918 0.817 NA 32.625555 13.506 26.161 28.086 15.64 15.04 15.423 13.823 13.369 45.9
STAR-339 b 1 5403 0.87 0.84 -0.09 12.39358604 14.322 29.699 31.82 16.079 15.474 15.889 14.195 13.782 47.7
STAR-357 b NA NA NA NA NA NA 13.829 6.712 7.669 15.329 14.779 15.097 13.624 13.23 17.4
STAR-516 e 5 NA NA 0.19137 NA 2.896027 13.807 14.007 15.061 17.251 15.913 17.072 13.615 12.9 52.6
STAR-688 b 1 5200 0.91 0.89 0.3 8.8849116 11.863 17.273 18.739 15.998 15.207 15.742 13.664 13.262 22.2
STAR-205 b 3 5873 1.18 1.16 NA 5.4122 13.232 30.225 31.82 13.111 12.732 13.017 11.81 11.554 28.8
STAR-163 b 1 5631 0.94 0.96 -0.02 29.6193421 12.162 15.4 16.898 13.801 13.278 13.579 12.143 11.766 48.2
STAR-621 b 6 4540 0.73 0.678 0.04 7.05246 12.701 15.4 16.898 15.859 14.723 15.674 12.954 12.353 43.1
STAR-199 b 1 5066 0.8 0.77 -0.08 22.18432708 13.463 29.699 31.82 15.47 14.701 15.266 13.358 12.83 43.9
STAR-013 b 1 5772 1 1 0.03 40.6069821 2.59 0.276 0.286 14.244 14.911 12.932 14.56 0 63.1
STAR-615 c 2 5302 0.842 0.759 NA 6.40013 14.035 14.007 15.061 15.241 14.556 15.051 13.278 12.872 43.5
STAR-731 c 3 6165 1.198 1.383 NA 16.088134 12.247 20.941 22.518 15.679 15.231 15.493 14.276 14.026 44.4
STAR-466 c 2 5544 0.946 0.841 NA 28.574263 13.245 20.269 21.967 14.282 13.739 14.064 12.583 12.226 39.2
STAR-267 d 3 6085 1.065 0.958 NA 9.751962 12.447 15.4 16.898 15.867 15.354 15.683 14.252 13.906 41.5
STAR-341 c 2 5148 0.84 0.78 -0.03 226.89047 13.077 12.003 13.206 16.548 15.793 16.37 14.398 13.981 60.7
STAR-470 b 1 5557 0.92 0.89 -0.06 7.33683936 13.871 29.699 31.82 15.839 15.252 15.623 14.105 13.696 43.6
STAR-332 b 1 6761 1.45 1.71 0.02 10.11716531 13.595 16.662 18.119 14.013 13.772 13.874 13.006 12.755 33.9
STAR-584 c 3 6043 1.04 1.014 NA 4.134444 13.972 14.007 15.061 16.234 15.677 16 14.528 14.112 33.7
STAR-212 b 1 5692 0.97 0.96 0.01 3.16789194 12.901 28.04 31.159 16.067 15.477 15.829 14.32 13.958 33
STAR-090 c 2 NA NA NA NA 16.23855 13.874 17.863 19.385 12.629 11.95 10.788 11.866 0 43.8
STAR-082 f 5 5299 0.834 0.826 NA 20.834237 13.051 24.269 26.1 16.626 15.89 16.369 14.537 14.076 43.9
STAR-505 d 3 5957 1.021 0.91 NA 18.746477 13.17 15.4 16.898 16.344 15.806 16.146 14.675 14.268 46.5
STAR-029 b 1 5829 1.02 1.04 0.03 161.4743937 12.526 15.4 16.898 14.357 13.834 14.133 12.685 12.375 44.2
STAR-363 b 1 5020 0.81 0.77 -0.02 20.38177573 12.669 28.04 31.159 16.619 15.845 16.448 14.423 13.945 53.1
STAR-404 b 1 5293 0.86 0.82 -0.03 8.30864937 12.622 10.275 11.331 15.453 14.764 15.278 13.441 13.022 51.7
STAR-539 b 1 4836 0.78 0.73 -0.01 6.9913086 13.777 29.699 31.82 15.812 14.868 15.691 13.375 12.835 48.4
STAR-235 b 5 NA NA NA NA 5.714932 12.864 12.003 13.206 14.417 13.654 14.26 12.256 11.739 47.6
STAR-624 b NA NA NA NA NA NA 12.441 6.712 7.668 15.416 14.65 15.228 13.375 12.93 24.1
STAR-244 b 1 6160 1.16 1.25 0.05 3.02166863 12.326 2.505 3.3 14.819 14.378 14.649 13.368 13.093 40.3
STAR-552 b 2 5669 0.911 0.919 -0.18 4.72673978 12.206 4.407 5.17 10.38 9.862 10.18 8.771 8.445 39.9
STAR-305 b 1 3715 0.53 0.5 0.04 8.114379 12.268 2.505 3.3 17.474 16.091 17.214 13.404 12.723 41
STAR-576 c 2 6091 1.129 1.26 NA 17.406669 13.506 14.345 15.644 14.372 13.948 14.178 12.955 12.695 43.8
STAR-177 b 1 5475 0.93 1.09 0.09 6.40087618 12.042 16.662 18.119 13.632 12.95 13.419 11.605 11.183 50.5
STAR-606 b 2 5779 0.94 0.98 -0.2 2.58664 13.603 17.863 19.385 13.296 12.834 13.091 11.743 11.407 32.6
STAR-034 b 3 5120 0.794 0.728 NA 6.252972 13.539 12.003 13.206 16.559 15.77 16.375 14.362 13.868 42.4
STAR-725 b 1 3813 0.51 0.48 -0.24 28.59915399 13.454 19.07 20.646 16.649 15.261 16.42 12.91 12.292 63.2
STAR-370 c 4 5232 NA 0.891 NA 12.759712 13.204 15.4 16.898 15.237 14.472 15.035 13.096 12.685 40.1
STAR-093 c 3 5643 0.91 1.065 -0.15 45.294301 13.798 29.699 31.82 11.388 10.92 11.191 9.888 9.563 54.3
STAR-691 b 1 4315 0.65 0.61 -0.16 2.80624233 14.143 28.04 31.159 17.156 15.934 17.001 14.092 13.452 45.2
STAR-312 b 1 5382 0.88 0.93 0.04 6.07972888 12.318 12.003 13.206 14.115 13.488 13.883 12.18 11.765 35.9
STAR-221 g 8 6080 1.2 1.2 -0.12 210.60697 13.589 22.528 24.3 14.139 13.741 13.971 12.789 12.531 54.1
STAR-297 b 3 5381 0.909 0.953 NA 29.198943 11.838 26.161 28.086 14.635 13.941 14.403 12.694 12.273 32.3
STAR-211 b 3 5479 0.905 1.007 NA 9.926746 13.121 12.003 13.206 14.663 14.064 14.461 12.891 12.512 50
STAR-628 b 2 5211 0.79 0.77 NA 8.180848 13.186 12.003 13.206 15.455 14.749 15.246 13.429 12.926 41.4
STAR-626 b 2 5646 0.96 0.94 0.02 58.3620495 13.347 17.273 18.739 14.94 14.276 14.711 13.06 12.689 40
STAR-343 b 1 5700 0.97 0.95 0 6.36584161 12.464 2.505 3.3 15.594 15.032 15.38 13.881 13.522 44.9
STAR-345 b 1 5612 0.94 0.91 -0.03 16.32976218 12.455 2.505 3.3 15.988 15.407 15.754 14.255 13.869 37
STAR-057 b 1 NA NA NA NA 290 13.559 12.591 13.805 12.098 11.627 11.919 10.522 10.211 76.2
STAR-170 b 4 4486 0.634 0.571 NA 12.282972 13.145 10.275 11.331 16.84 15.434 16.576 13.407 12.746 46.2
STAR-422 c 2 5235 0.824 0.75 NA 20.134866 12.893 28.04 29.546 15.515 14.79 15.328 13.407 12.941 51.6
STAR-016 b 4 6189 1.18 1.403 NA 13.484686 13.642 4.956 5.811 14.273 13.879 14.084 12.913 12.653 40.2
STAR-264 b 2 4668 0.683 0.667 NA 4.069427 12.173 12.003 13.206 14.701 13.801 14.584 12.255 11.733 44.5
STAR-407 b 1 5972 1.15 1.24 0.23 7.8914483 13.005 3.229 4.006 13.832 13.376 13.637 12.356 12.125 22.1
STAR-693 b 1 5268 0.85 0.81 -0.07 14.03491514 13.793 29.699 31.82 15.237 14.526 14.997 13.195 12.72 40.4
STAR-645 b 1 5394 0.87 0.84 -0.06 41.40831347 12.739 28.04 31.159 15.775 15.154 15.567 13.804 13.413 31.7
STAR-561 b 1 5334 0.87 0.83 -0.03 1.6168837 12.19 14.9 16.047 15.056 14.349 14.827 13.086 12.653 29.7
STAR-210 b 3 5676 0.89 1.066 NA 9.576694 13.297 15.4 16.898 15.143 14.548 14.916 13.279 12.967 35.2
STAR-609 b 1 5447 0.93 0.92 0.14 1.90220856 14.466 28.04 31.159 14.895 14.237 14.713 13.042 12.653 34.3
STAR-043 c 3 5828 1.19 1.548 NA 10.742371 14.059 4.956 5.811 13.89 13.43 13.647 12.352 12.047 29.2
STAR-721 c 3 5297 0.79 0.929 NA 6.057342 14.036 20.941 22.518 15.348 14.622 15.126 13.159 12.833 37.7
STAR-463 b 1 5961 1.06 1.09 0 4.44448017 13.349 28.04 31.159 15.62 15.159 15.421 14.119 13.839 43.4
STAR-399 c 5 5751 0.97 1.43 NA 6.155557 12.315 19.07 20.646 15.6 15.003 15.361 13.894 13.544 44.5
STAR-474 b 1 5971 1.09 1.14 0.06 6.52121067 13.199 28.04 31.159 15.337 14.791 15.142 13.65 13.352 48
STAR-375 b 2 5817 1.01 1.05 0 14.37457351 13.276 16.107 17.482 14.201 13.695 13.999 12.631 12.3 59.1
STAR-530 b 2 4699 0.671 0.668 NA 12.718092 12.668 2.505 3.3 16.296 15.349 16.203 13.608 13.064 45.9
STAR-121 b 1 6112 1.19 1.65 -0.06 30.8638931 13.31 15.4 16.898 12.891 12.507 12.738 11.547 11.294 44
STAR-512 b 3 6363 1.31 1.746 NA 12.309681 12.539 16.662 18.119 13.869 13.589 13.729 12.724 12.509 37.8
STAR-042 b 1 5835 1.01 1 0 4.22162536 13.306 29.699 31.82 15.125 14.648 14.957 13.58 13.276 35.2
STAR-018 b 3 4263 0.577 0.556 NA 7.877407 13.796 12.003 13.206 16.328 15.068 16.131 13.153 12.506 46.8
STAR-453 b 1 5281 0.86 0.82 -0.04 1.26025909 13.434 29.699 31.82 15.969 15.255 15.741 14.054 13.615 29.4
STAR-382 b 1 5260 0.89 0.8 0.01 24.3078946 13.121 10.275 11.331 13.254 12.551 13.03 11.257 10.792 38.4
STAR-468 b 2 5476 1 1.01 0.33 0.66931 13.706 15.4 16.898 13.046 12.442 12.828 11.332 10.983 32.5
STAR-122 b 1 4298 0.67 0.64 -0.06 8.22241966 12.07 2.505 3.3 16.188 14.947 16.021 13.089 12.441 47.1
STAR-621 d 6 4540 0.73 0.678 0.04 3.07222 12.701 15.4 16.898 15.859 14.723 15.674 12.954 12.353 44.3
STAR-151 b 1 5107 0.85 0.8 0.07 11.51516988 13.068 29.699 31.82 16.099 15.302 15.929 13.939 13.496 46.8
STAR-076 b 1 5009 0.79 0.75 -0.11 17.31716585 13.532 28.04 31.159 16.575 15.738 16.311 14.169 13.628 50
STAR-369 b 2 6186 1.19 1.28 0.06 7.42608998 12.237 2.505 3.3 15.242 14.762 15.048 13.683 13.394 48.1
STAR-001 b 2 5250 0.9 0.862 NA 8.187399 12.135 20.941 22.518 14.675 14.07 14.512 12.9 12.539 54
STAR-515 b NA NA NA NA NA NA 14.389 9.611 10.763 13.276 12.969 13.114 12.087 11.898 25.7
